,Memcache,Cassandra,Tensorflow
2018-09-07T09:19:10.009051,0,0,0
2018-09-07T09:19:10.537028,0.265252489,0.32263327,0
2018-09-07T09:19:12.010968,0.297967214,0.409545392,0
2018-09-07T09:19:12.537024,0.324958282,0.403006811,0
2018-09-07T09:19:14.010974,0.371780338,0.498791494,0
2018-09-07T09:19:14.537025,0.363154478,0.52247055,0
2018-09-07T09:19:16.010969,0.326391033,0.434985505,0
2018-09-07T09:19:16.537023,0.336120986,0.439859542,0
2018-09-07T09:19:18.010970,0.315403795,0.439811866,0
2018-09-07T09:19:18.537028,0.317849225,0.432224506,0
2018-09-07T09:19:20.010965,0.352925704,0.441321361,0
2018-09-07T09:19:20.537025,0.324795348,0.408334045,0
2018-09-07T09:19:22.010969,0.304727421,0.407953546,0
2018-09-07T09:19:22.537030,0.332796645,0.434589616,0
2018-09-07T09:19:24.011015,6.427778384,97.22755871,0
2018-09-07T09:19:24.537072,32.49142384,97.37264244,0
2018-09-07T09:19:26.011027,151.3490614,3.31389458,0
2018-09-07T09:19:26.537051,176.1375803,3.707833525,0
2018-09-07T09:19:28.010978,180.4119031,559.8883309,0
2018-09-07T09:19:28.537048,176.2410414,823.1486736,0
2018-09-07T09:19:30.010969,166.1623825,982.7225844,0
2018-09-07T09:19:30.537011,156.5926217,977.4524401,0
2018-09-07T09:19:32.010959,168.4062582,893.5453777,0
2018-09-07T09:19:32.537044,175.4361174,866.8598848,0
2018-09-07T09:19:34.010996,166.5329802,851.8682024,0
2018-09-07T09:19:34.537010,169.94597,850.1707311,0
2018-09-07T09:19:36.010965,173.2857432,851.4610573,0
2018-09-07T09:19:36.537021,170.9999539,843.020087,0
2018-09-07T09:19:38.010968,176.7982595,850.9274757,0
2018-09-07T09:19:38.537050,173.945075,853.0225711,0
2018-09-07T09:19:40.011011,170.6161582,845.9447228,0
2018-09-07T09:19:40.537020,174.7175019,849.6182012,0
2018-09-07T09:19:42.010987,174.2857803,868.0922388,0
2018-09-07T09:19:42.537020,171.24762,859.1369707,0
2018-09-07T09:19:44.010963,166.3688512,845.927163,0
2018-09-07T09:19:44.537019,170.3458415,850.249843,0
2018-09-07T09:19:46.011015,172.2524061,853.1687199,0
2018-09-07T09:19:46.537053,171.39477,850.1179876,0
2018-09-07T09:19:48.010993,161.1631398,921.7039042,0
2018-09-07T09:19:48.537017,159.3295188,941.1281001,0
2018-09-07T09:19:50.010971,166.7412125,908.3629793,0
